Statement,Verdict
"""There is no law that deals specifically with the term ‘partial-birth abortion.’”",FALSE
"Says Chelsea Clinton tweeted, ""If Jesus were alive today he'd be working at Planned Parenthood.""",pants-fire
"“Joe Biden puts pro-life groups on domestic extremist list, calls pro-life people ‘violent.’”",barely-true
“Innocent lives will be saved” by ending taxpayer funding of Planned Parenthood.,FALSE
There is “aborted male fetus” in the Oxford-AstraZeneca “Covid 19 vaccine.”,FALSE
"Says Doug Jones ""has voted to spend our tax dollars on late-term abortions"" and ""supports abortion up until birth.""",FALSE
“Kamala Harris Tried to Put Pro-Lifers in Jail Who Exposed Planned Parenthood Selling Baby Parts”,FALSE
Says Joe Biden and Kamala Harris support abortion “up to the moment of birth.”,FALSE
“AARP endorses Biden and gives financial support to Planned Parenthood.”,FALSE
"A graphic on U.S. abortion rates shows larger declines during recent Democratic presidential administrations, and says its due to the party’s approach of making abortions unnecessary, rather than the Republican Party’s approach of making the procedure illegal.",half-true
"Says Karen Handel voted with Donald Trump, ""gutting health care for millions, supporting horrific child separation policies"" and for ""abortion bans.""",half-true
Says Kamala Harris and other Democratic senators “voted to let babies scream until they die if born alive.”,FALSE
"“...Virginia, more than any other state, had the steepest drop in the number of abortions between 2011 and 2017.”",mostly-true
"Says Nate McMurray said that “gun owners are part of the most insecure and dangerous club on earth,” that “the NRA are homegrown terrorists,” and that “abortion opponents are the American Taliban.”",mostly-true
Says Nancy Pelosi tried “once again” to include abortion funding in the latest coronavirus bill.,barely-true
Says Wisconsin Gov. Tony Evers “wants to force residents to fund Planned Parenthood abortion business.”,barely-true
"""U.S. deaths since 1/22 (2020): COVID-19: 27, flu, 4,700; abortion: 118,000.""",barely-true
Says Nancy Pelosi was “caught trying to include abortion funding in bill to combat coronavirus.”,FALSE
"On key issues including taxes, health care, the Green New Deal, abortion, and guns, there is “no daylight between” Bernie Sanders and Joe Biden.",half-true
"Says Democrats are embracing “abortion up until the moment of birth and even, horrifically, after that.”",FALSE
Says it’s “OK to kill babies once born” in Virginia.,FALSE
“Pete Buttigieg claims Bible says babies can be aborted ‘up to their first breath.’”,FALSE
"In New York, ""it is now perfectly legal to murder"" a baby a minute before it would be born.",FALSE
"Says Jeff Foxworthy wrote a list of examples explaining how ""you might live in a nation that was founded by geniuses but is run by idiots.""",FALSE
"Says Donald Trump tweeted, ""Danny DeVito supports baby murder.""",FALSE
