,Date,Source,Statement,Verdict
0,February 2021,Members of parliament ,Five claims made during South Africa’s state of the nation address debate,checked
1,February 2021,Members of parliament ,"“In 2020, there was a 64% drop in cases of GBVF compared to the same period in 2019.”",Unproven
2,February 2021,Members of parliament ,“50% of grade 1 pupils will never write a matric examination.”,Incorrect
3,February 2021,Members of parliament ,“Not a single megawatt of new generation has been procured in over five years from the Renewable Energy Independent Power Producer Procurement Programme.”,Correct
4,February 2021,Members of parliament ,“South Africa was already in a recession for three quarters before the outbreak of coronavirus.”,Correct
5,February 2021,Members of parliament ,“Today we have more dysfunctional municipalities than functional municipalities.”,Misleading
6,7 February 2021,Punch newspaper ,Two claims about caesarean sections in Nigeria,checked
7,7 February 2021,Punch newspaper ,The national prevalence of caesarean section delivery in Nigeria is about 2.1%.,Mostly correct
8,7 February 2021,Punch newspaper ,The WHO recommends a caesarean section threshold of 10%.,Incorrect
9,March 2021, Kenya Catholic Doctors Association ,Three claims about treating Covid-19,checked
10,March 2021, Kenya Catholic Doctors Association ,“We know for a fact that there are drugs that have been repurposed and used effectively to treat Covid-19.”,Misleading
11,March 2021, Kenya Catholic Doctors Association ,“We also know that vaccination for this disease is totally unnecessary.”,Incorrect
12,March 2021, Kenya Catholic Doctors Association ,“Vaccines have never been used to control outbreaks.”,Incorrect
13, January 2021,The Africa Report,Three claims about Kenya’s debt to China,checked
14, January 2021,The Africa Report,Kenya’s outstanding loans to China total US$6.4 billion.,Understated
15, January 2021,The Africa Report,China is by far Kenya’s largest bilateral creditor.,Correct
16, January 2021,The Africa Report,China “accounts for less than 10%” of Kenya’s external debt.,Incorrect
17,August 2020,Christian charity World Vision International ,As many as one million girls across sub-Saharan Africa may be blocked from returning to school due to pregnancy during Covid-19 school closures,unproven
18,January 2020,NPOReports website ,Malaria kills more children under five than any other age group.,correct
19,21 January 2021,Oncologist Dr Abia Nzelu ,Five claims about cervical cancer rates in Nigeria,checked
20,21 January 2021,Oncologist Dr Abia Nzelu ,"In Nigeria, cervical cancer is the second-most common cancer in females.",Correct
21,21 January 2021,Oncologist Dr Abia Nzelu ,Cervical cancer is the second-most common cause of cancer deaths in women.,Correct
22,21 January 2021,Oncologist Dr Abia Nzelu ,"In 2008, cervical cancer killed 9,659 Nigerian women.",Unproven
23,21 January 2021,Oncologist Dr Abia Nzelu ,"By 2012, cervical cancer deaths had reduced to 8,070.",Incorrect
24,21 January 2021,Oncologist Dr Abia Nzelu ,"However, 2018 saw a new spike in cervical cancer deaths to 10,403, a 70% mortality rate.",Unproven
25,11 February 2021,South African president Cyril Ramaphosa ,Nine claims about the state of South Africa,checked
26,11 February 2021,South African president Cyril Ramaphosa ,"In the third quarter of 2020, the economy was 6% smaller than it was in the third quarter of 2019.",Correct
27,11 February 2021,South African president Cyril Ramaphosa ,There were 1.7 million fewer people employed in the third quarter of 2020 than there were in the first quarter. Our unemployment rate stands at a staggering 30.8%.,Correct
28,11 February 2021,South African president Cyril Ramaphosa ,“A total of 18 million people … received additional grant payments.”,Correct
29,11 February 2021,South African president Cyril Ramaphosa ,“Through the implementation of the poultry master plan the industry has invested R800 million to upgrade production. South Africa now produces an additional 1 million chickens every week.”,Understated
30,11 February 2021,South African president Cyril Ramaphosa ,"“By the end of January 2021, over 430,000 opportunities have already been supported through the [Presidential Employment Stimulus]. A further 180,000 opportunities are currently in the recruitment process.”",Correct
31,11 February 2021,South African president Cyril Ramaphosa ,Eskom is the “largest greenhouse gas emitter” in South Africa.,Correct
32,11 February 2021,South African president Cyril Ramaphosa ,"“In 2020, [South Africa] became the world’s second-largest exporter of citrus.”",Unproven
33,11 February 2021,South African president Cyril Ramaphosa ,“To date government has redistributed over 5 million hectares of land …”,Unproven
34,11 February 2021,South African president Cyril Ramaphosa ,2.7 million hectares has been transferred through the land restitution process.,Incorrect
35,January 2021,Baringo county governor Stanley Kiptis ,Three claims about Baringo county’s health budget ,checked
36,January 2021,Baringo county governor Stanley Kiptis ,"In Baringo, we put 51% of our resources into healthcare",Incorrect
37,January 2021,Baringo county governor Stanley Kiptis ,Baringo’s healthcare allocation is the highest,Incorrect
38,January 2021,Baringo county governor Stanley Kiptis ,Baringo [has] gone beyond the 35% ceiling on personnel emoluments as set in the constitution. We are at 55.7%.,Mostly Correct
39,2020,Advocacy organisations ,The South African city Johannesburg is the most radioactive on Earth,unproven
40,January 2021,Prompt website ,Three claims about the Nigerian diaspora and remittances,checked
41,January 2021,Prompt website ,There are over 15 million Nigerians in the diaspora,Unproven
42,January 2021,Prompt website ,Nigerians in the diaspora send back an estimated $25 billion in annual remittances,Unproven
43,January 2021,Prompt website ,Nigeria is the fifth largest receiver of diaspora remittances in the world,Unproven
44,12 January 2021,The National Taxi Alliance ,Two claims about the minibus-taxi industry in South Africa.,checked
45,12 January 2021,The National Taxi Alliance ,The taxi industry transports 70% of the commuting public,Mostly correct
46,12 January 2021,The National Taxi Alliance ,The taxi industry transports “more than 15 million commuters daily”,Unproven
47,January 2021,Nairobi ex-governor Mike Sonko ,Kenyatta’s administration has borrowed KSh8 trillion in eight years,incorrect
48,January 2021,"African National Congress Youth League, greater Tshwane region ",Two claims about how to combat Covid-19,checked
49,January 2021,"African National Congress Youth League, greater Tshwane region ",You can ‘eliminate’ the virus that causes Covid-19 by consuming alkaline foods,incorrect
50,January 2021,"African National Congress Youth League, greater Tshwane region ","Inhaling steam ‘paralyses’ SARS-CoV-2, the virus that causes Covid-19",incorrect
51,April 2020,Finance minister Tito Mboweni ,Almost 100% of restaurant workers in South Africa are foreign.,incorrect
52,November 2020,Facebook ,South African final-year high school students will have to rewrite their exams due to leaks.,incorrect
53,July 2020,"Wycliffe Oparanya, chair of Kenya’s council of governors ",Seven claims ranging from health and agriculture to water access and gender equality.,checked
54,July 2020,"Wycliffe Oparanya, chair of Kenya’s council of governors ",Counties allocated an average of 7.3% of budgets to agriculture.,Verdict
55,July 2020,"Wycliffe Oparanya, chair of Kenya’s council of governors ",[The allocation to agriculture] is an increase of 0.6% from what was reported last year.,Verdict
56,July 2020,"Wycliffe Oparanya, chair of Kenya’s council of governors ",[The counties are striving] to reach the 10% [allocation to agriculture] recommended by the Malabo declaration.,Verdict
